x1*,x2*,r*,y*,Penalty Value
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
0.9990541879556122,1.89734522001299,2.1443013207984065,-1056.9007821091736,-1057.2925201510375
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
0.9990387020038647,1.4792546547499075,1.7850133505665537,-1039.7127374078648,-1040.2601524400134
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
0.9994281110786777,1.9789374177415155,2.2169911710585932,-1748.2311942089282,-1748.591313305753
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
3.8220314702680938,1.180584500129729,4.000213034535317,-4694.263819928873,-4694.074594575057
inf,inf,inf,nan,0
0.9999999999999999,1.2319746531894191,1.5867455832934243,-9007199254740991.0,-9007199254740992.0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
0.9999999991267072,0.9996359397362493,1.4139561557084395,-1145094097.7224205,-1145094098.4209752
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
0.9991468649056826,1.2436890077981202,1.5953234172946646,-1171.5206595082268,-1172.1473031186426
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
0.9992108089179945,0.9999958156905926,1.4136526702331258,-240254.48451318443,-240255.18318432468
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
inf,inf,inf,nan,0
