x1,x2,iter_number,step
0.0,0.0,0,0.12
4.08,4.56,1,0.12
12.24,13.68,2,0.12
9.786603323076923,11.913780184615383,3,0.12
-314.8707248731163,-228.32482604443211,4,0.12
-335.42656365317936,-248.5329339354776,5,0.12
-17019.403941830886,-16660.399680015165,6,0.12
-16398.792272874052,-16059.761723162306,7,0.12
2222164.2195069958,2151544.032817591,8,0.12
2257830.9933529585,2187111.953481374,9,0.12
624843519.1915407,623051090.4818871,10,0.12
620071616.4137768,618296058.1074334,11,0.12
-382713595985.7403,-381364483574.2962,12,0.12
-384055928879.26483,-382706373831.1181,13,0.12
-507023562671286.4,-506855199442334.3,14,0.12
-506196651420546.3,-506028611638465.0,15,0.12
1.4511315756557957e+18,1.4505643225481152e+18,16,0.12
1.4522256226990141e+18,1.4516583289398566e+18,17,0.12
8.975322831163766e+21,8.974988841691546e+21,18,0.12
8.972187664501007e+21,8.971853811138565e+21,19,0.12
-1.1989123841821474e+26,-1.1988603417911105e+26,20,0.12
-1.1991062115554102e+26,-1.1990541683617654e+26,21,0.12
